date,station,title,url,target
2020-03-16,경기매일,"KB금융지주, 2020년 정기주주총회 생중계 안내",http://www.kgmaeil.net/news/articleView.html?idxno=236236,KB금융지주
2020-03-18,비즈니스포스트,"윤종규, KB금융지주 주총에서 주가 하락에 뿔난 주주 어떻게 ...",http://m.businesspost.co.kr/BP?command=mobile_view&num=169092,KB금융지주
2020-03-19,조세일보,KB금융지주 12기 정기주주총회서 6개 안건 원안대로 승인,http://www.joseilbo.com/news/htmls/2020/03/20200320394243.html,KB금융지주
2020-03-20,더팩트,"윤종규 KB금융지주 회장, 푸르덴셜 인수 우려 '일축'",http://news.tf.co.kr/read/economy/1786341.htm,KB금융지주
2020-03-20,이포커스,"KB금융지주, 제12기 정기주주총회 안건 모두 원안대로 승인",http://www.e-focus.co.kr/news/articleView.html?idxno=3132,KB금융지주
2020-03-20,비즈니스포스트,"윤종규, KB금융지주 주총에서 ""위기관리 역량으로 코로나19 돌파""",http://m.businesspost.co.kr/BP?command=mobile_view&num=169509,KB금융지주
2020-03-20,인사이트코리아 (보도자료) (블로그),KB금융지주 12기 주총...상정안건 모두 원안 처리,http://www.insightkorea.co.kr/news/articleView.html?idxno=78340,KB금융지주
2020-03-20,NSP통신,[업앤다운]은행주 전부 상승…KB금융‧신한지주↑,http://www.nspna.com/news/?mode=view&newsid=418421,KB금융지주
2020-03-26,초이스경제,"""금융안정 부양책 기대""...KB금융 · 하나금융지주 등 은행주, '연일 ...",http://www.choicenews.co.kr/news/articleView.html?idxno=69472,KB금융지주
2020-03-28,NSP통신,"[금융업계기상도]KB금융‧신한지주 '맑음', NH농협금융지주 '구름 ...",http://www.nspna.com/news/?mode=view&newsid=420018,KB금융지주
2020-04-16,이코노뉴스,"KB증권 ""한국금융지주, 코로나19로 IB 실적 둔화…비증권 ...",http://www.econonews.co.kr/news/articleView.html?idxno=116639,KB금융지주
2020-01-01,조선일보,"KT 전직 임원들, 구현모 내정자에 “황창규 회장과 단절, 성장 ...",https://biz.chosun.com/site/data/html_dir/2020/01/01/2020010101580.html,KT&G
2020-01-01,전자신문,[KT 차기 CEO 과제는]〈3〉AI·5G 등 본원적 경쟁력 높여야,https://m.etnews.com/20191231000131,KT&G
2020-01-01,부산일보,"기분 좋은 '농구영신' 부산KT, 5연패 탈출",http://www.busan.com/view/busan/view.php?code=2020010117550601799,KT&G
2020-01-01,스타뉴스,"KT 투수 고과 1위는 '71경기' 주권, ""내부 공헌도 가장 높았다""",https://star.mt.co.kr/stview.php?no=2020010115021155936&VBC,KT&G
2020-01-01,ZD넷 코리아,"황창규 KT “뛰어난 역량 CEO 후보, 글로벌 1등 힘 얻었다”",http://www.zdnet.co.kr/ArticleView.asp?artice_id=20200102102645,KT&G
2020-01-01,KT Press,Celebrating New Year In Prison,https://www.ktpress.rw/2020/01/celebrating-new-year-in-prison/,KT&G
2020-01-01,KT Press,Welcoming 2020 in Style,https://www.ktpress.rw/2020/01/welcoming-2020-in-style/,KT&G
2020-01-01,KT Press,2019 Leaves a Promising Public Accounts Committee,https://www.ktpress.rw/2020/01/2019-leaves-a-promising-public-accounts-committee/,KT&G
2020-01-01,Bangalore Mirror,KT Rama Rao: AIMIM is friend but will not contest civic polls ...,https://bangaloremirror.indiatimes.com/news/india/kt-rama-rao-aimim-is-friend-but-will-not-contest-civic-polls-together/articleshow/73060549.cms,KT&G
2020-01-02,전자신문,[KT 차기 CEO 과제는]〈4·끝〉장기적 관점 필요···'KT 웨이' 구축해야,https://m.etnews.com/20200102000205,KT&G
2020-01-02,테크월드 뉴스 (보도자료),"KT 황창규 회장, “AI를 누리는 세상을 주도해야” 격려",http://www.epnc.co.kr/news/articleView.html?idxno=93337,KT&G
2020-01-02,한국경제,"KT, 만 12세 이하 스마트폰 구입 땐 6개월간 月 1만1천원 할인",https://www.hankyung.com/it/article/202001028076i,KT&G
2020-01-02,서울경제,[2019 국가고객만족도 조사] IPTV 1위 'KT',https://www.sedaily.com/NewsVIew/1YXHPJM153,KT&G
2020-01-02,스포츠경향,"2년차에 '최고', 3년차는?…KT 연봉 계약, 강백호만 남았다",http://sports.khan.co.kr/news/sk_index.html?art_id=202001021630013&sec_id=510201,KT&G
2020-01-02,15min,"Lenkijos teismas įpareigojo buvusį prokurorą, KT teisėją ...",https://www.15min.lt/naujiena/aktualu/pasaulis/lenkijos-teismas-ipareigojo-buvusi-prokurora-kt-teiseja-viesai-atsiprasyti-teiseju-57-1254802,KT&G
2020-01-03,일요주간,SKT·KT·LGU+…'한 목소리'로 AI 전문기업으로 간다 밝혀,http://www.ilyoweekly.co.kr/news/newsview.php?ncode=1065574707360592,KT&G
2020-01-03,연합뉴스TV,"[프로야구] 강백호 2억1000만원…kt, 연봉 협상 마감",https://www.yonhapnewstv.co.kr/news/MYH20200103009200038,KT&G
2020-01-03,KT Press,Rwanda Raises Penalties Against Money Laundering ...,https://www.ktpress.rw/2020/01/rwanda-raises-penalties-against-money-laundering-financing-terrorism/,KT&G
2020-01-04,동아일보,"'문성곤 3점슛 5방' KGC, KT 꺾고 4연승…공동 선두 점프",http://www.donga.com/news/article/all/20200104/99081362/1,KT&G
2020-01-04,KNS뉴스통신,"[포토] KT 파이팅, 김연정 치어리더",http://www.kns.tv/news/articleView.html?idxno=639585,KT&G
2020-01-04,스타뉴스,"KT 4일 홈경기서 이마트데이 진행, 다양한 경품 증정",https://star.mt.co.kr/stview.php?no=2020010409343493055&VBC,KT&G
2020-01-05,전자신문,"[이슈분석]KT, 보편적 서비스 '올킬'",https://m.etnews.com/20200103000248,KT&G
2020-01-05,매일경제,'순발력·뚝심' 갖춘 KT 50대 CEO…직원미팅 즐겨 '구현모임 ...,https://www.mk.co.kr/news/it/view/2020/01/13109/,KT&G
2020-01-05,KT Press,Rwanda Liberation Museum Facelift Due June 2020,https://www.ktpress.rw/2020/01/rwanda-liberation-museum-facelift-due-june-2020/,KT&G
2020-01-05,KT Press,Rwanda Prisons Set Zero Firewood Target,https://www.ktpress.rw/2020/01/rwanda-prisons-set-zero-firewood-target/,KT&G
2020-01-06,위키리크스한국,KT 손에 달린 케이뱅크 경영정상화...'명줄' 다하기 전 '돈줄' 풀릴까,http://www.wikileaks-kr.org/news/articleView.html?idxno=74228,KT&G
2020-01-06,한국경제,"프로농구 DB, kt에 37점 차 대승…시즌 최다 점수 차 승리",https://www.hankyung.com/sports/article/202001066851Y,KT&G
2020-01-06,한국경제,KT스카이라이프 '보좌관' 만든 스튜디오앤뉴 지분 9.9% 인수,https://www.hankyung.com/it/article/202001065566i,KT&G
2020-01-06,인사이트코리아 (보도자료) (블로그),유료방송 시장 독주 굳히기...KT 구현모가 던진 승부수,http://www.insightkorea.co.kr/news/articleView.html?idxno=75199,KT&G
2020-01-06,RCR Wireless News,"KT, Ubitus to launch 5G cloud gaming service in Korea",https://www.rcrwireless.com/20200106/5g/kt-ubitus-launc-5-clou-gamin-service-korea,KT&G
2020-01-06,뉴스1,"[프로농구 화보] 원주DB, 부산 KT 96-59 대파",https://news1.kr/articles/?3810215,KT&G
2020-01-06,KT Press,Rwanda Welcomes S. Africa Law Barring Refugees from ...,https://www.ktpress.rw/2020/01/rwanda-welcomes-s-africa-law-barring-refugees-from-engaging-in-politics/,KT&G
2020-01-06,Fox News,KT McFarland: Soleimani was the terror king – Dems and ...,https://www.foxnews.com/opinion/solemani-terror-king-democrats-liberal-media,KT&G
2020-01-06,KT Press,10 Projects to Watch in 2020,https://www.ktpress.rw/2020/01/10-projects-to-watch-in-2020/,KT&G
2020-01-06,KT Press,Rwanda Kicks off 2020 Battling Genocide Denial,https://www.ktpress.rw/2020/01/rwanda-kicks-off-2020-battling-genocide-denial/,KT&G
2020-01-07,국제신문,"허훈이 돌아온다, 위기의 kt 구하러",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0600&key=20200108.22022002685,KT&G
2020-01-07,경향신문,"구현모 차기 사장 내정한 KT, 후속 인사 '속도'",http://news.khan.co.kr/kh_news/khan_art_view.html?art_id=202001072124005,KT&G
2020-01-07,KT Press,What Has MICE Got for Rwanda in 2020?,https://www.ktpress.rw/2020/01/what-has-mice-got-for-rwanda-in-2020/,KT&G
2020-01-07,KT Press,Rwanda's Central Bank Issues First T-Bond of 2020,https://www.ktpress.rw/2020/01/rwandas-central-bank-issues-first-t-bond-of-2020/,KT&G
2020-01-07,Elets,Tech Mahindra and Cyient Development Centres inaugurated ...,https://egov.eletsonline.com/2020/01/tech-mahindra-cyient-development-centres-inaugurated-kt-rama-rao-warangal/,KT&G
2020-01-07,IndianWeb2.com,"'IT' is Now 'Intelligence Technology': KT Rama Rao, IT Minister ...",https://www.indianweb2.com/2020/01/07/it-is-now-intelligence-technology-kt-rama-rao-it-minister-telangana-state/,KT&G
2020-01-08,조선일보,"황창규 KT 회장, 임기 두 달 남겨놓고 경영 일선 물러난다",https://biz.chosun.com/site/data/html_dir/2020/01/08/2020010802783.html,KT&G
2020-01-08,동아일보,"25일 만에 부상 복귀 KT 허훈, 역시 완벽할 수는 없었다",http://www.donga.com/news/article/all/20200108/99144834/2,KT&G
2020-01-08,조선일보,"허 훈 돌아온 KT, 3연패지만 희망은 확인했다",https://news.chosun.com/site/data/html_dir/2020/01/08/2020010803672.html,KT&G
2020-01-08,게임플,"세기의 라이벌, SKT vs KT 스타 프로리그 리매치 라인업 확정",http://www.gameple.co.kr/news/articleView.html?idxno=151607,KT&G
2020-01-08,아이뉴스24,"KT, AI 기반 5G 품질 최적화…'5G 아이콘' 개발",http://www.inews24.com/view/1234615,KT&G
2020-01-08,Voicebot.ai (blog),How KT is Trying to Stand Out in the Crowded South Korean ...,https://voicebot.ai/2020/01/08/how-kt-is-trying-to-stand-out-in-the-crowded-south-korean-voice-ai-market/,KT&G
2020-01-08,KT Press,88 Year Old Granny Risks Life in Jail over Drug Trafficking,https://www.ktpress.rw/2020/01/88-year-old-granny-risks-life-in-jail-over-drug-trafficking/,KT&G
2020-01-08,The Bay Bridged,Photos: KT Tunstall at Yoshi's,http://thebaybridged.com/2020/01/08/photos-kt-tunstall-at-yoshis/,KT&G
2020-01-08,Fox News,KT McFarland – Iran and Trump: Why the next 48 hours are ...,https://www.foxnews.com/opinion/iran-trump-48-hours-presidency-kt-mcfarland,KT&G
2020-01-08,KT Press,Queen Cha's 2020 Resolution: It's A Year of 'Solos',https://www.ktpress.rw/2020/01/queen-chas-2020-resolution-its-a-year-of-solos/,KT&G
2020-01-09,블로터닷넷,"KT, 5G 기지국 제어에 AI 기술 적용",http://www.bloter.net/archives/367392,KT&G
2020-01-09,한국면세뉴스,[LG유플러스:KT] LGU+ 멤버십 포인트 무제한 제공-KT 인공지능 ...,http://www.kdfnews.com/news/articleView.html?idxno=41474,KT&G
2020-01-09,부산일보,"'에이스' 허훈의 존재감, 부산KT가 살아났다",http://www.busan.com/view/busan/view.php?code=2020010919081440541,KT&G
2020-01-09,바스켓코리아,[BK포토화보] 부산KT vs 인천전자랜드 경기모습,http://www.basketkorea.com/news/articleView.html?idxno=191449,KT&G
2020-01-09,WIN.gg,KT Rolster restricts trainee applications to players younger ...,https://win.gg/news/3480/kt-rolster-restricts-trainee-applications-to-players-younger-than-20,KT&G
2020-01-09,KT Press,No Cause for Alarm – Rwandair Explains Tel Aviv Incident,https://www.ktpress.rw/2020/01/no-cause-for-alarm-rwandair-explains-tel-aviv-incident/,KT&G
2020-01-09,KT Press,Rwanda's Only District without Tarmac Road Now Catered For,https://www.ktpress.rw/2020/01/rwandas-only-district-without-tarmac-road-now-catered-for/,KT&G
2020-01-09,Telangana Today,Telangana planning to set up Aerospace University: KT Rama ...,https://telanganatoday.com/telangana-planning-to-set-up-aerospace-university-kt-rama-rao,KT&G
2020-01-10,미래경제 (보도자료),"""KT 차기 대표도 선임했는데""…도대체 주가는 왜이러나",http://www.mirae-biz.com/news/articleView.html?idxno=52201,KT&G
2020-01-10,The National,Tickets added to sell-out charity KT Tunstall tour with Lidl,https://www.thenational.scot/news/18152575.tickets-added-sell-out-charity-kt-tunstall-tour-lidl/,KT&G
2020-01-10,KT Press,"World Stars, Speakers and Events that Will Make 2020 ...",https://www.ktpress.rw/2020/01/world-stars-speakers-and-events-that-will-make-2020-headlines/,KT&G
2020-01-11,조선일보,"LG, 연장 혈투 끝에 인삼공사 제압 '2연승'…KT, 3연패 탈출",https://news.chosun.com/site/data/html_dir/2020/01/11/2020011101180.html,KT&G
2020-01-11,KT Press,World's Biggest Basilica due Next Year in Kibeho – Rwanda,https://www.ktpress.rw/2020/01/worlds-biggest-basilica-due-next-year-in-kibeho-rwanda/,KT&G
2020-01-12,ZD넷 코리아,KT 새CEO 인사 조직개편 초읽기,http://www.zdnet.co.kr/view/?no=20200113120342,KT&G
2020-01-12,조선일보,"헤인즈 시즌1호 트리플더블, SK 40점차로 KT에 복수극 완성",https://news.chosun.com/site/data/html_dir/2020/01/12/2020011201556.html,KT&G
2020-01-12,KBS뉴스,"'헤인즈 트리플더블' SK, kt에 40점차 대승…선두 수성",http://mn.kbs.co.kr/mobile/news/view.do?ncd=4360595,KT&G
2020-01-12,디지털타임스,20대용 5G 데이터무제한 KT `Y슈퍼플랜` 요금제,http://www.dt.co.kr/contents.html?article_no=2020011202109931032003,KT&G
2020-01-12,비즈니스포스트,"[체험기] KT 5G 스트리밍게임, 스마트폰으로 PC게임 '절반의 합격'",http://m.businesspost.co.kr/BP?command=mobile_view&num=159164,KT&G
2020-01-12,조선일보,"KT 서동철 감독 ""비 온뒤 땅이 더 굳는다. 우린 더 강해질 것""",https://news.chosun.com/site/data/html_dir/2020/01/12/2020011201301.html,KT&G
2020-01-12,KT Press,Rwanda Police Take Up the Altar to Preach Road Safety Gospel,https://www.ktpress.rw/2020/01/rwanda-police-take-up-the-altar-to-preach-road-safety/,KT&G
2020-01-12,KT Press,Itorero for Today's Teachers to Explain the Past to Future ...,https://www.ktpress.rw/2020/01/itorero-for-todays-teachers-to-explain-the-past-to-future-generations/,KT&G
2020-01-12,KT Press,Harness the culture of gratitude – Mrs Kagame,https://www.ktpress.rw/2020/01/harness-the-culture-of-gratitude-mrs-kagame/,KT&G
2020-01-13,IT조선,"구현모 “이번주 KT 인사 단행, 키워드는 고객 중심”",http://it.chosun.com/site/data/html_dir/2020/01/13/2020011302751.html,KT&G
2020-01-13,라이센스뉴스 (보도자료),"KT, 삼성서울병원과 '5G 스마트 혁신병원' 개발",http://www.lcnews.co.kr/news/articleView.html?idxno=2667,KT&G
2020-01-13,위키리크스한국,"KT 구현모 사장, 첫 공식 행보로 신년인사회 참석... 한자리에 ...",http://www.wikileaks-kr.org/news/articleView.html?idxno=74750,KT&G
2020-01-13,산업경제뉴스 (보도자료) (블로그),KT '5G 아이콘' 개발...테이터 학습한 AI가 5G 제어,https://www.biznews.or.kr/mobile/article.html?no=9788,KT&G
2020-01-13,전자신문,"구현모 KT 차기 CEO 내정자, 2020 과학기술·정보방송통신인 ...",https://m.etnews.com/20200113000342?obj=Tzo4OiJzdGRDbGFzcyI6Mjp7czo3OiJyZWZlcmVyIjtOO3M6NzoiZm9yd2FyZCI7czoxMzoid2ViIHRvIG1vYmlsZSI7fQ%3D%3D,KT&G
2020-01-13,디지털타임스 (보도자료),[포토] 신년인사회 참석한 구현모 KT 사장 내정자,http://www.dt.co.kr/contents.html?article_no=2020011302109919035017,KT&G
2020-01-13,디지털타임스 (보도자료),[포토] 카이스트 총장과 대화하는 구현모 KT 사장 내정자,http://www.dt.co.kr/contents.html?article_no=2020011302109919035018,KT&G
2020-01-13,KT Press,My Music Career Can't Stop Amalon's Project – Deejay Pius,https://www.ktpress.rw/2020/01/my-music-career-cant-stop-amalons-project-deejay-pius/,KT&G
2020-01-13,KT Press,Rwanda: First Pharmaceutical Plant to start Production in July,https://www.ktpress.rw/2020/01/rwanda-first-pharmaceutical-plant-to-start-production-in-july/,KT&G
2020-01-13,KT Press,"Who was Pie Mugabo, the Deceased Retired Judge?",https://www.ktpress.rw/2020/01/who-was-pie-mugabo-the-deceased-retired-judge/,KT&G
2020-01-14,한겨레,"“'5G 불통' KT, 이탈 고객 막으려 '32만원 보상' 제안”",http://www.hani.co.kr/arti/economy/it/924407.html,KT&G
2020-01-14,한국일보,"KT, 이번주 '구현모號' 인사·조직개편…황창규 그늘 벗을까",http://daily.hankooki.com/lpage/ittech/202001/dh20200114181513138250.htm,KT&G
2020-01-14,매일경제,"KT·삼성서울병원, 5G로 스마트병원 만든다",https://www.mk.co.kr/news/it/view/2020/01/46599/,KT&G
2020-01-14,데일리e스포츠,"[TEN] 이영호, 김택용마저 무너뜨리고 하루 2승! kt 4대1 승",http://www.dailyesports.com/view.php?ud=2020011421574182343cf949c6b9_27,KT&G
2020-01-14,아시아경제,"국민연금, KT 주식 124만주 장내매도",https://www.asiae.co.kr/article/2020011417212983491,KT&G
2020-01-14,축구 전문 미디어 스포탈코리아,"[TEN] '복수는 없다' KT, 레전드 매치서 SK텔레콤 격파(종합)",https://www.sportalkorea.com/general/view.php?gisa_uniq=202001142200772607,KT&G
2020-01-14,데일리e스포츠,"[TEN] kt 김성대, '저그 킬러' 김택용 격파!",http://www.dailyesports.com/view.php?ud=2020011420120872793cf949c6b9_27,KT&G
2020-01-14,KT Press,How Costly is Rwanda's Electricity? RURA to Release New ...,https://www.ktpress.rw/2020/01/how-costly-is-rwandas-electricity-rura-to-release-new-tariffs/,KT&G
2020-01-14,KT Press,Teacher Trainers to Sit Int'l English Standard Test,https://www.ktpress.rw/2020/01/teacher-trainers-to-sit-intl-english-standard-test/,KT&G
2020-01-14,KT Press,Connect Rwanda Challenge: RDB Hands Over Smartphones ...,https://www.ktpress.rw/2020/01/connect-rwanda-challenge-rdb-hands-over-smartphones-to-park-rangers/,KT&G
2020-01-15,인더뉴스(iN THE NEWS),"KT, 28GHz 대역 5G 현장 검증 성공",http://inthenews.co.kr/article-32019/,KT&G
2020-01-15,데일리포스트-스타트업워치,"KT, 고성능 광중계기로 '실내 5G 품질' 강화",https://www.thedailypost.kr/news/articleView.html?idxno=72590,KT&G
2020-01-15,오늘경제,[오늘경제] KT '그림의 떡' 5G가입자에게 결국 '32만원 보상',https://www.startuptoday.co.kr/news/articleView.html?idxno=38185,KT&G
2020-01-15,녹색경제신문,"KT, 5G 기지국 수 4만개 '지난해 5월 대비 1.83배 증가'...'4G에 ...",https://www.greened.kr/news/articleView.html?idxno=232931,KT&G
2020-01-15,글로벌이코노믹,KT 조직개편 뜯어 보니…방점은 실용성·미래사업·윤리성,http://www.g-enews.com/view.php?ud=202001161400355956bf45d5d5ea_1,KT&G
2020-01-15,글로벌이코노믹,KT '구현모호' 첫 조직 개편 3대 키워드는 '고객·젊음·디지털 혁신 ...,http://www.g-enews.com/view.php?ud=202001161027482470bf45d5d5ea_1,KT&G
2020-01-15,KT Press,"Rwanda, Israel to Jointly Fight Terrorism, Maintain Border ...",https://www.ktpress.rw/2020/01/rwanda-israel-to-jointly-fight-terrorism-maintain-border-security/,KT&G
2020-01-15,Fox News,KT McFarland: 2020 Democrats prove they are willfully blind ...,https://www.foxnews.com/opinion/2020-democrats-trump-foreign-policy-strategy-kt-mcfarland,KT&G
2020-01-15,KT Press,"Alyn Sano is Rwanda's Future Diva, Claims Edouce Softman",https://www.ktpress.rw/2020/01/alyn-sano-is-rwandas-future-diva-claims-edouce-softman/,KT&G
2020-01-15,Telecompaper,"Verizon, Vodafone, KT, America Movil form 5G Future Forum",https://www.telecompaper.com/news/verizon-vodafone-kt-america-movil-form-5g-future-forum--1322835,KT&G
2020-01-16,IT조선,"닻 올린 KT 구현모호, '황색' 지우고 '구색' 맞췄다",http://it.chosun.com/site/data/html_dir/2020/01/16/2020011603045.html,KT&G
2020-01-16,더피알,KT 신임 홍보실장 양율모 상무,https://www.the-pr.co.kr/news/articleView.html?idxno=44056,KT&G
2020-01-16,디지털경제뉴스,"KT, 2020 조직개편 및 임원인사 단행",http://www.denews.co.kr/news/articleView.html?idxno=11618,KT&G
2020-01-16,뉴시스,"KT스카이라이프, 설 맞이 VOD 이벤트 실시",https://newsis.com/view?id=NISX20200116_0000891498,KT&G
2020-01-16,디지털데일리,[프로필] KT 신임 사장 박윤영 기업사업부문장,http://m.ddaily.co.kr/m/m_article/?no=190693,KT&G
2020-01-16,디지털데일리,[프로필] KT 신임 부사장 이철규 인프라운용혁신실장,http://m.ddaily.co.kr/m/m_article/?no=190695,KT&G
2020-01-16,팝콘뉴스,"KT, 젊은피 수혈 '디지털혁신' 선도 조직개편",http://m.popcornnews.net/23990,KT&G
2020-01-16,한국경제,[인사] KT ; NICE그룹,https://www.hankyung.com/society/article/2020011629751,KT&G
2020-01-16,팍스경제TV,"딸 KT '부정채용 의혹' 김성태, 1심 무죄…""뇌물 혐의 입증 안돼""",http://www.paxetv.com/news/articleView.html?idxno=85012,KT&G
2020-01-16,매일경제,[인사] 국무조정실·국무총리비서실 / 경찰청 / KT 등,https://www.mk.co.kr/news/society/view/2020/01/55244/,KT&G
2020-01-17,조선일보,'딸 채용특혜'에도 김성태는 왜 무죄 받았나... KT 사장 진술 ...,https://news.chosun.com/site/data/html_dir/2020/01/17/2020011702996.html,KT&G
2020-01-17,글로벌이코노믹,"KT, '시즌' 2020년 첫 오리지널 콘텐츠 공개",https://m.g-enews.com/view.php?ud=202001170918534106c29df5275_1,KT&G
2020-01-17,TokenPost,"전북 익산시, KT 블록체인 기반 지역화폐 '다이(多e)로움' 출시",https://www.tokenpost.kr/article-26374,KT&G
2020-01-17,EBN뉴스센터,'변화와 혁신' 신호탄 쏜 KT…계열사 후속인사 주목,https://www.ebn.co.kr/news/view/1018213,KT&G
2020-01-17,KT Press,2000 Diabetes Patients Get Testing Technology,https://www.ktpress.rw/2020/01/2000-diabetes-patients-get-testing-technology/,KT&G
2020-01-17,KT Press,Recently Arrested FLN Spokes Presented to the Media,https://www.ktpress.rw/2020/01/recently-arrested-fln-spokes-presented-to-the-media/,KT&G
2020-01-17,KT Press,'The600' Film is Back,https://www.ktpress.rw/2020/01/the600-film-is-back/,KT&G
2020-01-17,KT Press,"How Lies, Genocide Ideology Kept Dependents of ...",https://www.ktpress.rw/2020/01/how-lies-genocide-ideology-kept-dependents-of-combatants-in-drc-jungles/,KT&G
2020-01-18,데일리e스포츠,"[포토] kt '스코어' 고동빈, 팬들과 함께 '찰칵'",http://www.dailyesports.com/view.php?ud=20200118154033816374bcc1e038_27,KT&G
2020-01-18,KT Press,Rwanda Intensifies Ebola Vigilance As Death Toll Hit 2236 In ...,https://www.ktpress.rw/2020/01/rwanda-intensifies-ebola-vigilance-as-death-toll-hit-2236-in-drc/,KT&G
2020-01-18,KT Press,Huye Marathon Winners to Represent Rwanda in Poland,https://www.ktpress.rw/2020/01/huye-marathon-winners-to-represent-rwanda-in-poland/,KT&G
2020-01-18,KT Press,"Mr Flavour, Dbanj Give Rwandans Free Concert",https://www.ktpress.rw/2020/01/mr-flavour-dbanj-give-rwandans-free-concert/,KT&G
2020-01-19,전자신문,KT 이사회 성적표 3년간 내리막...구현모 CEO 시대 변화해야,https://m.etnews.com/20200117000185,KT&G
2020-01-19,스포츠조선 모바일,"KT, 원내비에 AI 교통상황 예측기술 적용",http://www.sportschosun.com/news/news.htm?id=202001200100139170008807&ServiceDate=20200120,KT&G
2020-01-19,제주新보,양창식 KT 제주고객본부장 임원 승진,http://www.jejunews.com/news/articleView.html?idxno=2155138,KT&G
2020-01-19,아시아경제,5시 핫딜·스벅커피·펭수달력·공짜웹툰...KT 설 이벤트 챙기세요,https://www.asiae.co.kr/article/2020011910371050616,KT&G
2020-01-19,Yahoo Finance,KT and Samsung Medical Center to Build 5G Smart Hospital,https://finance.yahoo.com/news/kt-samsung-medical-center-build-054700008.html,KT&G
2020-01-19,글로벌경제신문,"""KT OTT '시즌', 출시 한달만에 이용자 300만명 육박""",http://www.getnews.co.kr/view.php?ud=2020012013455310737f7a2feaf6_16,KT&G
2020-01-19,KT Press,"Rats, Red Envelopes and a Shared Vision, Happy Chinese ...",https://www.ktpress.rw/2020/01/rats-red-envelopes-and-a-shared-vision-happy-chinese-new-year/,KT&G
2020-01-19,KT Press,Is Kigali Up To Defend Miss Rwanda Title?,https://www.ktpress.rw/2020/01/is-kigali-up-to-defend-miss-rwanda-title/,KT&G
2020-01-19,The Siasat Daily,KT Rama Rao is a political illiterate: BJP MP Arvind,https://www.siasat.com/kt-rama-rao-political-illiterate-bjp-mp-arvind-1797309/,KT&G
2020-01-20,비즈한국,KT 구현모 체제 출범 전부터 'CEO 리스크' 직면한 속사정,https://www.bizhankook.com/bk/article/19333,KT&G
2020-01-20,한국경제,KT '시즌' 한 달 만에 300만명 유치,https://www.hankyung.com/it/article/2020012006071,KT&G
2020-01-20,전북일보,"KT전북본부, 독자적 권한 잃고 호남광역본부로 흡수",https://www.jjan.kr/news/articleView.html?idxno=2075587,KT&G
2020-01-20,전북일보,KT전북본부 통폐합 우려…정보화 사업 차질·통신 소외지역 증가 ...,https://www.jjan.kr/news/articleView.html?idxno=2075574,KT&G
2020-01-20,디지털데일리,LGU+ 이어 SKT도 케이블 M&A…복잡해진 KT와 남은 MSO,http://m.ddaily.co.kr/m/m_article/?no=190838,KT&G
